Store,Model,Batch No
"Allahabad","Keratome 1.2 mm Grey Series","TE/MSK12/1601",
"Allahabad","Keratome 2.2 mm Grey Series","TE/MSK22/1601",
"Allahabad","Keratome 2.2 mm Grey Series","TE/MSK22/1701",
"Allahabad","Keratome 1.8 mm Grey Series","TE/MSK18/1801",
"Allahabad","Keratome 2.6 mm Grey Series","TE/MSK26/1505",
"Allahabad","Keratome 2.65 mm Grey Series","TE/MSK265/1601",
"Allahabad","Keratome 2.8 mm Grey Series","TE/MSK28/1701",
"Allahabad","Keratome 3.0 mm Grey Series","TE/MSK30/1701",
"Allahabad","MVR 19G (Paracentesis) Straight Grey Series","TE/MSK19GS/1603",
"Allahabad","MVR 20G (Paracentesis) Straight Grey Series","TE/MSK20GS/1801",
"Allahabad","MVR 20G (Paracentesis) Straight Grey Series","TE/MSK20GS/1704",
"Allahabad","MVR 23G (Paracentesis) Straight Grey Series","TE/MSK23GS/1701",
"Allahabad","Keratome 2.2 mm Eco Series","TE/MSK22E/1701",
"Allahabad","Crescent 2.5 mm Eco Series","TE/MSKCR25E/1801",
"Allahabad","Keratome 2.6 mm Eco Series","TE/MSK26E/1901",
"Allahabad","Keratome 2.8 mm Eco Series","TE/MSK28E/1802",
"Delhi","Lance Tip 15 Degree - Eco Series (Incision Blade)","TE/MSK15DE/1901",
"Delhi","MVR 19G (Paracentesis) Angled Eco Series","TE/MSK19GAE/1901",
"Allahabad","MVR 19G (Paracentesis) Straight Eco Series","TE/MSK19GSE/1901",
"Allahabad","MVR 19G (Paracentesis) Straight Eco Series","TE/MSK19GSE/1701",
"Allahabad","MVR 20G (Paracentesis) Straight Eco Series","TE/MSK20GSE/1702",
"Allahabad","MVR 20G (Paracentesis) Angled Eco Series","TE/MSK20GAE/1802",
"Allahabad","MVR 20G (Paracentesis) Angled Eco Series","TE/MSK20GAE/1801",
"Allahabad","MVR 22G (Paracentesis) Straight Z Series","TE/MSK22GSZ/1802",
"Allahabad","MVR 22G (Paracentesis) Straight Z Series","TE/MSK22GSZ/1803",
"Allahabad","Keratome 2.8 mm Eco Series","TE/MSK28E/1801",
"Allahabad","Keratome 2.2 mm Eco Series","TE/MSK22E/1801",
"Allahabad","MVR 20G (Paracentesis) Straight Eco Series","TE/MSK20GSE/1802",
"Allahabad","Keratome 1.8 mm Z Series","TE/MSK18Z/1801",
"Allahabad","Crescent 2.8 mm Z Series","TE/MSKCR28Z/1701",
"Allahabad","Keratome 2.8 mm Double Bevel Up Angled Z Series","TE/MSK28DBAZ/1701",
"Allahabad","Keratome 2.8 mm Double Bevel Up Straight Z Series","TE/MSK28DBSZ/1701",
"Allahabad","Keratome 2.2 mm Z Series","TE/MSK22Z/1901",
